// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 24 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\xxlen\Documents\Repositories\hcdotnet\fiara-fna-benchmarks\src\FIARA.Benchmarks\bin\Release\net7.0\2ada5882-bdd9-4ab7-9666-ffd09d6963df
// command took 1.41s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\xxlen\Documents\Repositories\hcdotnet\fiara-fna-benchmarks\src\FIARA.Benchmarks\bin\Release\net7.0\2ada5882-bdd9-4ab7-9666-ffd09d6963df
// command took 5.55s and exited with 0
// ***** Done, took 00:00:07 (7.06 sec)   *****
// Found 4 benchmarks:
//   Vector2AddBenchmark.FnaVector2Add: DefaultJob
//   Vector2AddBenchmark.SysVector2Add: DefaultJob
//   Vector2AddBenchmark.FnaVector2AddNoInline: DefaultJob
//   Vector2AddBenchmark.SysVector2AddNoInline: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: Vector2AddBenchmark.FnaVector2Add: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 2ada5882-bdd9-4ab7-9666-ffd09d6963df.dll --anonymousPipes 1888 1884 --benchmarkName FIARA.Benchmarks.Substitutions.Vector2AddBenchmark.FnaVector2Add --job Default --benchmarkId 0 in C:\Users\xxlen\Documents\Repositories\hcdotnet\fiara-fna-benchmarks\src\FIARA.Benchmarks\bin\Release\net7.0\2ada5882-bdd9-4ab7-9666-ffd09d6963df\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 7.0.3 (7.0.323.6910), X64 RyuJIT AVX2
// GC=Concurrent Server
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 177500.00 ns, 177.5000 us/op
WorkloadJitting  1: 1 op, 331200.00 ns, 331.2000 us/op

OverheadJitting  2: 16 op, 145300.00 ns, 9.0813 us/op
WorkloadJitting  2: 16 op, 498300.00 ns, 31.1438 us/op

WorkloadPilot    1: 16 op, 106600.00 ns, 6.6625 us/op
WorkloadPilot    2: 32 op, 246000.00 ns, 7.6875 us/op
WorkloadPilot    3: 64 op, 416900.00 ns, 6.5141 us/op
WorkloadPilot    4: 128 op, 869300.00 ns, 6.7914 us/op
WorkloadPilot    5: 256 op, 2755100.00 ns, 10.7621 us/op
WorkloadPilot    6: 512 op, 3638800.00 ns, 7.1070 us/op
WorkloadPilot    7: 1024 op, 6769300.00 ns, 6.6106 us/op
WorkloadPilot    8: 2048 op, 13784200.00 ns, 6.7306 us/op
WorkloadPilot    9: 4096 op, 27759300.00 ns, 6.7772 us/op
WorkloadPilot   10: 8192 op, 54634100.00 ns, 6.6692 us/op
WorkloadPilot   11: 16384 op, 102062300.00 ns, 6.2294 us/op
WorkloadPilot   12: 32768 op, 144360800.00 ns, 4.4055 us/op
WorkloadPilot   13: 65536 op, 286976400.00 ns, 4.3789 us/op
WorkloadPilot   14: 131072 op, 573238900.00 ns, 4.3735 us/op

OverheadWarmup   1: 131072 op, 208700.00 ns, 1.5923 ns/op
OverheadWarmup   2: 131072 op, 238200.00 ns, 1.8173 ns/op
OverheadWarmup   3: 131072 op, 254700.00 ns, 1.9432 ns/op
OverheadWarmup   4: 131072 op, 255100.00 ns, 1.9463 ns/op
OverheadWarmup   5: 131072 op, 296000.00 ns, 2.2583 ns/op
OverheadWarmup   6: 131072 op, 262700.00 ns, 2.0042 ns/op
OverheadWarmup   7: 131072 op, 210400.00 ns, 1.6052 ns/op
OverheadWarmup   8: 131072 op, 225600.00 ns, 1.7212 ns/op
OverheadWarmup   9: 131072 op, 246200.00 ns, 1.8784 ns/op
OverheadWarmup  10: 131072 op, 242200.00 ns, 1.8478 ns/op

OverheadActual   1: 131072 op, 248000.00 ns, 1.8921 ns/op
OverheadActual   2: 131072 op, 246500.00 ns, 1.8806 ns/op
OverheadActual   3: 131072 op, 253900.00 ns, 1.9371 ns/op
OverheadActual   4: 131072 op, 207900.00 ns, 1.5862 ns/op
OverheadActual   5: 131072 op, 208900.00 ns, 1.5938 ns/op
OverheadActual   6: 131072 op, 209700.00 ns, 1.5999 ns/op
OverheadActual   7: 131072 op, 254700.00 ns, 1.9432 ns/op
OverheadActual   8: 131072 op, 274500.00 ns, 2.0943 ns/op
OverheadActual   9: 131072 op, 277300.00 ns, 2.1156 ns/op
OverheadActual  10: 131072 op, 210000.00 ns, 1.6022 ns/op
OverheadActual  11: 131072 op, 250600.00 ns, 1.9119 ns/op
OverheadActual  12: 131072 op, 221300.00 ns, 1.6884 ns/op
OverheadActual  13: 131072 op, 277400.00 ns, 2.1164 ns/op
OverheadActual  14: 131072 op, 247500.00 ns, 1.8883 ns/op
OverheadActual  15: 131072 op, 255700.00 ns, 1.9508 ns/op
OverheadActual  16: 131072 op, 242800.00 ns, 1.8524 ns/op
OverheadActual  17: 131072 op, 239700.00 ns, 1.8288 ns/op
OverheadActual  18: 131072 op, 218200.00 ns, 1.6647 ns/op
OverheadActual  19: 131072 op, 239800.00 ns, 1.8295 ns/op
OverheadActual  20: 131072 op, 250300.00 ns, 1.9096 ns/op

WorkloadWarmup   1: 131072 op, 580543300.00 ns, 4.4292 us/op
WorkloadWarmup   2: 131072 op, 572388300.00 ns, 4.3670 us/op
WorkloadWarmup   3: 131072 op, 579689300.00 ns, 4.4227 us/op
WorkloadWarmup   4: 131072 op, 582176500.00 ns, 4.4417 us/op
WorkloadWarmup   5: 131072 op, 583789200.00 ns, 4.4540 us/op
